metric_id,metric_name,policy_event,geography,value_num,value_unit,sample_note,source_doc
TM-SYN-0017,Synthetic trade metric 0017 (probability),Export rebate reform,India,0.193,probability,Synthetic sample note 0017 for Export rebate reform in India,2603.23825v1.pdf
TM-SYN-0018,Synthetic trade metric 0018 (flag),Tariff cut package,Vietnam,1.0,flag,Synthetic sample note 0018 for Tariff cut package in Vietnam,2603.23825v1.pdf
TM-SYN-0019,Synthetic trade metric 0019 (index),Customs facilitation program,Mexico,1.61,index,Synthetic sample note 0019 for Customs facilitation program in Mexico,2603.23825v1.pdf
TM-SYN-0020,Synthetic trade metric 0020 (percent),China WTO accession,Brazil,12.12,percent,Synthetic sample note 0020 for China WTO accession in Brazil,2603.23825v1.pdf
TM-SYN-0021,Synthetic trade metric 0021 (elasticity),Regional trade agreement wave,Germany,1.82,elasticity,Synthetic sample note 0021 for Regional trade agreement wave in Germany,2603.23825v1.pdf
TM-SYN-0022,Synthetic trade metric 0022 (probability),Export rebate reform,USA,0.067,probability,Synthetic sample note 0022 for Export rebate reform in USA,2603.23825v1.pdf
TM-SYN-0023,Synthetic trade metric 0023 (flag),Tariff cut package,Japan,0.0,flag,Synthetic sample note 0023 for Tariff cut package in Japan,2603.23825v1.pdf
TM-SYN-0024,Synthetic trade metric 0024 (index),Customs facilitation program,China,16.55,index,Synthetic sample note 0024 for Customs facilitation program in China,2603.23825v1.pdf
TM-SYN-0025,Synthetic trade metric 0025 (percent),China WTO accession,India,12.79,percent,Synthetic sample note 0025 for China WTO accession in India,2603.23825v1.pdf
TM-SYN-0026,Synthetic trade metric 0026 (elasticity),Regional trade agreement wave,Vietnam,2.41,elasticity,Synthetic sample note 0026 for Regional trade agreement wave in Vietnam,2603.23825v1.pdf
TM-SYN-0027,Synthetic trade metric 0027 (probability),Export rebate reform,Mexico,0.223,probability,Synthetic sample note 0027 for Export rebate reform in Mexico,2603.23825v1.pdf
TM-SYN-0028,Synthetic trade metric 0028 (flag),Tariff cut package,Brazil,1.0,flag,Synthetic sample note 0028 for Tariff cut package in Brazil,2603.23825v1.pdf
TM-SYN-0029,Synthetic trade metric 0029 (index),Customs facilitation program,Germany,11.64,index,Synthetic sample note 0029 for Customs facilitation program in Germany,2603.23825v1.pdf
TM-SYN-0030,Synthetic trade metric 0030 (percent),China WTO accession,USA,24.59,percent,Synthetic sample note 0030 for China WTO accession in USA,2603.23825v1.pdf
TM-SYN-0031,Synthetic trade metric 0031 (elasticity),Regional trade agreement wave,Japan,5.37,elasticity,Synthetic sample note 0031 for Regional trade agreement wave in Japan,2603.23825v1.pdf
TM-SYN-0032,Synthetic trade metric 0032 (probability),Export rebate reform,China,0.038,probability,Synthetic sample note 0032 for Export rebate reform in China,2603.23825v1.pdf
TM-SYN-0033,Synthetic trade metric 0033 (flag),Tariff cut package,India,0.0,flag,Synthetic sample note 0033 for Tariff cut package in India,2603.23825v1.pdf
TM-SYN-0034,Synthetic trade metric 0034 (index),Customs facilitation program,Vietnam,31.71,index,Synthetic sample note 0034 for Customs facilitation program in Vietnam,2603.23825v1.pdf
TM-SYN-0035,Synthetic trade metric 0035 (percent),China WTO accession,Mexico,16.98,percent,Synthetic sample note 0035 for China WTO accession in Mexico,2603.23825v1.pdf
TM-SYN-0036,Synthetic trade metric 0036 (elasticity),Regional trade agreement wave,Brazil,2.91,elasticity,Synthetic sample note 0036 for Regional trade agreement wave in Brazil,2603.23825v1.pdf
TM-SYN-0037,Synthetic trade metric 0037 (probability),Export rebate reform,Germany,0.195,probability,Synthetic sample note 0037 for Export rebate reform in Germany,2603.23825v1.pdf
TM-SYN-0038,Synthetic trade metric 0038 (flag),Tariff cut package,USA,1.0,flag,Synthetic sample note 0038 for Tariff cut package in USA,2603.23825v1.pdf
TM-SYN-0039,Synthetic trade metric 0039 (index),Customs facilitation program,Japan,23.59,index,Synthetic sample note 0039 for Customs facilitation program in Japan,2603.23825v1.pdf
TM-SYN-0040,Synthetic trade metric 0040 (percent),China WTO accession,China,23.61,percent,Synthetic sample note 0040 for China WTO accession in China,2603.23825v1.pdf
TM-SYN-0041,Synthetic trade metric 0041 (elasticity),Regional trade agreement wave,India,4.01,elasticity,Synthetic sample note 0041 for Regional trade agreement wave in India,2603.23825v1.pdf
TM-SYN-0042,Synthetic trade metric 0042 (probability),Export rebate reform,Vietnam,0.019,probability,Synthetic sample note 0042 for Export rebate reform in Vietnam,2603.23825v1.pdf
TM-SYN-0043,Synthetic trade metric 0043 (flag),Tariff cut package,Mexico,0.0,flag,Synthetic sample note 0043 for Tariff cut package in Mexico,2603.23825v1.pdf
TM-SYN-0044,Synthetic trade metric 0044 (index),Customs facilitation program,Brazil,36.19,index,Synthetic sample note 0044 for Customs facilitation program in Brazil,2603.23825v1.pdf
TM-SYN-0045,Synthetic trade metric 0045 (percent),China WTO accession,Germany,32.31,percent,Synthetic sample note 0045 for China WTO accession in Germany,2603.23825v1.pdf
TM-SYN-0046,Synthetic trade metric 0046 (elasticity),Regional trade agreement wave,USA,5.81,elasticity,Synthetic sample note 0046 for Regional trade agreement wave in USA,2603.23825v1.pdf
TM-SYN-0047,Synthetic trade metric 0047 (probability),Export rebate reform,Japan,0.139,probability,Synthetic sample note 0047 for Export rebate reform in Japan,2603.23825v1.pdf
TM-SYN-0048,Synthetic trade metric 0048 (flag),Tariff cut package,China,1.0,flag,Synthetic sample note 0048 for Tariff cut package in China,2603.23825v1.pdf
TM-SYN-0049,Synthetic trade metric 0049 (index),Customs facilitation program,India,4.52,index,Synthetic sample note 0049 for Customs facilitation program in India,2603.23825v1.pdf
TM-SYN-0050,Synthetic trade metric 0050 (percent),China WTO accession,Vietnam,28.45,percent,Synthetic sample note 0050 for China WTO accession in Vietnam,2603.23825v1.pdf
TM-SYN-0051,Synthetic trade metric 0051 (elasticity),Regional trade agreement wave,Mexico,2.18,elasticity,Synthetic sample note 0051 for Regional trade agreement wave in Mexico,2603.23825v1.pdf
TM-SYN-0052,Synthetic trade metric 0052 (probability),Export rebate reform,Brazil,0.04,probability,Synthetic sample note 0052 for Export rebate reform in Brazil,2603.23825v1.pdf
TM-SYN-0053,Synthetic trade metric 0053 (flag),Tariff cut package,Germany,0.0,flag,Synthetic sample note 0053 for Tariff cut package in Germany,2603.23825v1.pdf
TM-SYN-0054,Synthetic trade metric 0054 (index),Customs facilitation program,USA,2.44,index,Synthetic sample note 0054 for Customs facilitation program in USA,2603.23825v1.pdf
TM-SYN-0055,Synthetic trade metric 0055 (percent),China WTO accession,Japan,10.09,percent,Synthetic sample note 0055 for China WTO accession in Japan,2603.23825v1.pdf
TM-SYN-0056,Synthetic trade metric 0056 (elasticity),Regional trade agreement wave,China,0.58,elasticity,Synthetic sample note 0056 for Regional trade agreement wave in China,2603.23825v1.pdf
TM-SYN-0057,Synthetic trade metric 0057 (probability),Export rebate reform,India,0.227,probability,Synthetic sample note 0057 for Export rebate reform in India,2603.23825v1.pdf
TM-SYN-0058,Synthetic trade metric 0058 (flag),Tariff cut package,Vietnam,1.0,flag,Synthetic sample note 0058 for Tariff cut package in Vietnam,2603.23825v1.pdf
TM-SYN-0059,Synthetic trade metric 0059 (index),Customs facilitation program,Mexico,23.57,index,Synthetic sample note 0059 for Customs facilitation program in Mexico,2603.23825v1.pdf
TM-SYN-0060,Synthetic trade metric 0060 (percent),China WTO accession,Brazil,28.26,percent,Synthetic sample note 0060 for China WTO accession in Brazil,2603.23825v1.pdf
TM-SYN-0061,Synthetic trade metric 0061 (elasticity),Regional trade agreement wave,Germany,3.01,elasticity,Synthetic sample note 0061 for Regional trade agreement wave in Germany,2603.23825v1.pdf
TM-SYN-0062,Synthetic trade metric 0062 (probability),Export rebate reform,USA,0.165,probability,Synthetic sample note 0062 for Export rebate reform in USA,2603.23825v1.pdf
TM-SYN-0063,Synthetic trade metric 0063 (flag),Tariff cut package,Japan,0.0,flag,Synthetic sample note 0063 for Tariff cut package in Japan,2603.23825v1.pdf
TM-SYN-0064,Synthetic trade metric 0064 (index),Customs facilitation program,China,13.2,index,Synthetic sample note 0064 for Customs facilitation program in China,2603.23825v1.pdf
TM-SYN-0065,Synthetic trade metric 0065 (percent),China WTO accession,India,28.46,percent,Synthetic sample note 0065 for China WTO accession in India,2603.23825v1.pdf
TM-SYN-0066,Synthetic trade metric 0066 (elasticity),Regional trade agreement wave,Vietnam,6.88,elasticity,Synthetic sample note 0066 for Regional trade agreement wave in Vietnam,2603.23825v1.pdf
TM-SYN-0067,Synthetic trade metric 0067 (probability),Export rebate reform,Mexico,0.048,probability,Synthetic sample note 0067 for Export rebate reform in Mexico,2603.23825v1.pdf
TM-SYN-0068,Synthetic trade metric 0068 (flag),Tariff cut package,Brazil,1.0,flag,Synthetic sample note 0068 for Tariff cut package in Brazil,2603.23825v1.pdf
TM-SYN-0069,Synthetic trade metric 0069 (index),Customs facilitation program,Germany,26.09,index,Synthetic sample note 0069 for Customs facilitation program in Germany,2603.23825v1.pdf
TM-SYN-0070,Synthetic trade metric 0070 (percent),China WTO accession,USA,28.59,percent,Synthetic sample note 0070 for China WTO accession in USA,2603.23825v1.pdf
TM-SYN-0071,Synthetic trade metric 0071 (elasticity),Regional trade agreement wave,Japan,1.72,elasticity,Synthetic sample note 0071 for Regional trade agreement wave in Japan,2603.23825v1.pdf
TM-SYN-0072,Synthetic trade metric 0072 (probability),Export rebate reform,China,0.104,probability,Synthetic sample note 0072 for Export rebate reform in China,2603.23825v1.pdf
TM-SYN-0073,Synthetic trade metric 0073 (flag),Tariff cut package,India,0.0,flag,Synthetic sample note 0073 for Tariff cut package in India,2603.23825v1.pdf
TM-SYN-0074,Synthetic trade metric 0074 (index),Customs facilitation program,Vietnam,17.52,index,Synthetic sample note 0074 for Customs facilitation program in Vietnam,2603.23825v1.pdf
TM-SYN-0075,Synthetic trade metric 0075 (percent),China WTO accession,Mexico,8.02,percent,Synthetic sample note 0075 for China WTO accession in Mexico,2603.23825v1.pdf
TM-SYN-0076,Synthetic trade metric 0076 (elasticity),Regional trade agreement wave,Brazil,2.85,elasticity,Synthetic sample note 0076 for Regional trade agreement wave in Brazil,2603.23825v1.pdf
TM-SYN-0077,Synthetic trade metric 0077 (probability),Export rebate reform,Germany,0.118,probability,Synthetic sample note 0077 for Export rebate reform in Germany,2603.23825v1.pdf
TM-SYN-0078,Synthetic trade metric 0078 (flag),Tariff cut package,USA,1.0,flag,Synthetic sample note 0078 for Tariff cut package in USA,2603.23825v1.pdf
TM-SYN-0079,Synthetic trade metric 0079 (index),Customs facilitation program,Japan,11.01,index,Synthetic sample note 0079 for Customs facilitation program in Japan,2603.23825v1.pdf
TM-SYN-0080,Synthetic trade metric 0080 (percent),China WTO accession,China,4.53,percent,Synthetic sample note 0080 for China WTO accession in China,2603.23825v1.pdf
TM-SYN-0081,Synthetic trade metric 0081 (elasticity),Regional trade agreement wave,India,2.76,elasticity,Synthetic sample note 0081 for Regional trade agreement wave in India,2603.23825v1.pdf
TM-SYN-0082,Synthetic trade metric 0082 (probability),Export rebate reform,Vietnam,0.073,probability,Synthetic sample note 0082 for Export rebate reform in Vietnam,2603.23825v1.pdf
TM-SYN-0083,Synthetic trade metric 0083 (flag),Tariff cut package,Mexico,0.0,flag,Synthetic sample note 0083 for Tariff cut package in Mexico,2603.23825v1.pdf
TM-SYN-0084,Synthetic trade metric 0084 (index),Customs facilitation program,Brazil,7.71,index,Synthetic sample note 0084 for Customs facilitation program in Brazil,2603.23825v1.pdf
TM-SYN-0085,Synthetic trade metric 0085 (percent),China WTO accession,Germany,14.36,percent,Synthetic sample note 0085 for China WTO accession in Germany,2603.23825v1.pdf
TM-SYN-0086,Synthetic trade metric 0086 (elasticity),Regional trade agreement wave,USA,2.45,elasticity,Synthetic sample note 0086 for Regional trade agreement wave in USA,2603.23825v1.pdf
TM-SYN-0087,Synthetic trade metric 0087 (probability),Export rebate reform,Japan,0.101,probability,Synthetic sample note 0087 for Export rebate reform in Japan,2603.23825v1.pdf
TM-SYN-0088,Synthetic trade metric 0088 (flag),Tariff cut package,China,1.0,flag,Synthetic sample note 0088 for Tariff cut package in China,2603.23825v1.pdf
TM-SYN-0089,Synthetic trade metric 0089 (index),Customs facilitation program,India,30.06,index,Synthetic sample note 0089 for Customs facilitation program in India,2603.23825v1.pdf
TM-SYN-0090,Synthetic trade metric 0090 (percent),China WTO accession,Vietnam,39.4,percent,Synthetic sample note 0090 for China WTO accession in Vietnam,2603.23825v1.pdf
TM-SYN-0091,Synthetic trade metric 0091 (elasticity),Regional trade agreement wave,Mexico,7.06,elasticity,Synthetic sample note 0091 for Regional trade agreement wave in Mexico,2603.23825v1.pdf
TM-SYN-0092,Synthetic trade metric 0092 (probability),Export rebate reform,Brazil,0.157,probability,Synthetic sample note 0092 for Export rebate reform in Brazil,2603.23825v1.pdf
TM-SYN-0093,Synthetic trade metric 0093 (flag),Tariff cut package,Germany,0.0,flag,Synthetic sample note 0093 for Tariff cut package in Germany,2603.23825v1.pdf
TM-SYN-0094,Synthetic trade metric 0094 (index),Customs facilitation program,USA,36.79,index,Synthetic sample note 0094 for Customs facilitation program in USA,2603.23825v1.pdf
TM-SYN-0095,Synthetic trade metric 0095 (percent),China WTO accession,Japan,7.08,percent,Synthetic sample note 0095 for China WTO accession in Japan,2603.23825v1.pdf
TM-SYN-0096,Synthetic trade metric 0096 (elasticity),Regional trade agreement wave,China,1.46,elasticity,Synthetic sample note 0096 for Regional trade agreement wave in China,2603.23825v1.pdf
TM-SYN-0097,Synthetic trade metric 0097 (probability),Export rebate reform,India,0.089,probability,Synthetic sample note 0097 for Export rebate reform in India,2603.23825v1.pdf
TM-SYN-0098,Synthetic trade metric 0098 (flag),Tariff cut package,Vietnam,1.0,flag,Synthetic sample note 0098 for Tariff cut package in Vietnam,2603.23825v1.pdf
TM-SYN-0099,Synthetic trade metric 0099 (index),Customs facilitation program,Mexico,33.93,index,Synthetic sample note 0099 for Customs facilitation program in Mexico,2603.23825v1.pdf
TM-SYN-0100,Synthetic trade metric 0100 (percent),China WTO accession,Brazil,23.51,percent,Synthetic sample note 0100 for China WTO accession in Brazil,2603.23825v1.pdf
TM-SYN-0101,Synthetic trade metric 0101 (elasticity),Regional trade agreement wave,Germany,4.81,elasticity,Synthetic sample note 0101 for Regional trade agreement wave in Germany,2603.23825v1.pdf
TM-SYN-0102,Synthetic trade metric 0102 (probability),Export rebate reform,USA,0.075,probability,Synthetic sample note 0102 for Export rebate reform in USA,2603.23825v1.pdf
TM-SYN-0103,Synthetic trade metric 0103 (flag),Tariff cut package,Japan,0.0,flag,Synthetic sample note 0103 for Tariff cut package in Japan,2603.23825v1.pdf
TM-SYN-0104,Synthetic trade metric 0104 (index),Customs facilitation program,China,11.56,index,Synthetic sample note 0104 for Customs facilitation program in China,2603.23825v1.pdf
TM-SYN-0105,Synthetic trade metric 0105 (percent),China WTO accession,India,11.46,percent,Synthetic sample note 0105 for China WTO accession in India,2603.23825v1.pdf
TM-SYN-0106,Synthetic trade metric 0106 (elasticity),Regional trade agreement wave,Vietnam,3.74,elasticity,Synthetic sample note 0106 for Regional trade agreement wave in Vietnam,2603.23825v1.pdf
TM-SYN-0107,Synthetic trade metric 0107 (probability),Export rebate reform,Mexico,0.051,probability,Synthetic sample note 0107 for Export rebate reform in Mexico,2603.23825v1.pdf
TM-SYN-0108,Synthetic trade metric 0108 (flag),Tariff cut package,Brazil,1.0,flag,Synthetic sample note 0108 for Tariff cut package in Brazil,2603.23825v1.pdf
TM-SYN-0109,Synthetic trade metric 0109 (index),Customs facilitation program,Germany,26.55,index,Synthetic sample note 0109 for Customs facilitation program in Germany,2603.23825v1.pdf
TM-SYN-0110,Synthetic trade metric 0110 (percent),China WTO accession,USA,30.44,percent,Synthetic sample note 0110 for China WTO accession in USA,2603.23825v1.pdf
TM-SYN-0111,Synthetic trade metric 0111 (elasticity),Regional trade agreement wave,Japan,0.61,elasticity,Synthetic sample note 0111 for Regional trade agreement wave in Japan,2603.23825v1.pdf
TM-SYN-0112,Synthetic trade metric 0112 (probability),Export rebate reform,China,0.132,probability,Synthetic sample note 0112 for Export rebate reform in China,2603.23825v1.pdf
TM-SYN-0113,Synthetic trade metric 0113 (flag),Tariff cut package,India,0.0,flag,Synthetic sample note 0113 for Tariff cut package in India,2603.23825v1.pdf
TM-SYN-0114,Synthetic trade metric 0114 (index),Customs facilitation program,Vietnam,32.41,index,Synthetic sample note 0114 for Customs facilitation program in Vietnam,2603.23825v1.pdf
TM-SYN-0115,Synthetic trade metric 0115 (percent),China WTO accession,Mexico,35.92,percent,Synthetic sample note 0115 for China WTO accession in Mexico,2603.23825v1.pdf
TM-SYN-0116,Synthetic trade metric 0116 (elasticity),Regional trade agreement wave,Brazil,5.06,elasticity,Synthetic sample note 0116 for Regional trade agreement wave in Brazil,2603.23825v1.pdf
TM-SYN-0117,Synthetic trade metric 0117 (probability),Export rebate reform,Germany,0.128,probability,Synthetic sample note 0117 for Export rebate reform in Germany,2603.23825v1.pdf
TM-SYN-0118,Synthetic trade metric 0118 (flag),Tariff cut package,USA,1.0,flag,Synthetic sample note 0118 for Tariff cut package in USA,2603.23825v1.pdf
TM-SYN-0119,Synthetic trade metric 0119 (index),Customs facilitation program,Japan,12.79,index,Synthetic sample note 0119 for Customs facilitation program in Japan,2603.23825v1.pdf
TM-SYN-0120,Synthetic trade metric 0120 (percent),China WTO accession,China,32.63,percent,Synthetic sample note 0120 for China WTO accession in China,2603.23825v1.pdf
TM-SYN-0121,Synthetic trade metric 0121 (elasticity),Regional trade agreement wave,India,5.77,elasticity,Synthetic sample note 0121 for Regional trade agreement wave in India,2603.23825v1.pdf
TM-SYN-0122,Synthetic trade metric 0122 (probability),Export rebate reform,Vietnam,0.083,probability,Synthetic sample note 0122 for Export rebate reform in Vietnam,2603.23825v1.pdf
TM-SYN-0123,Synthetic trade metric 0123 (flag),Tariff cut package,Mexico,0.0,flag,Synthetic sample note 0123 for Tariff cut package in Mexico,2603.23825v1.pdf
TM-SYN-0124,Synthetic trade metric 0124 (index),Customs facilitation program,Brazil,23.93,index,Synthetic sample note 0124 for Customs facilitation program in Brazil,2603.23825v1.pdf
TM-SYN-0125,Synthetic trade metric 0125 (percent),China WTO accession,Germany,4.15,percent,Synthetic sample note 0125 for China WTO accession in Germany,2603.23825v1.pdf
TM-SYN-0126,Synthetic trade metric 0126 (elasticity),Regional trade agreement wave,USA,1.52,elasticity,Synthetic sample note 0126 for Regional trade agreement wave in USA,2603.23825v1.pdf
TM-SYN-0127,Synthetic trade metric 0127 (probability),Export rebate reform,Japan,0.101,probability,Synthetic sample note 0127 for Export rebate reform in Japan,2603.23825v1.pdf
TM-SYN-0128,Synthetic trade metric 0128 (flag),Tariff cut package,China,1.0,flag,Synthetic sample note 0128 for Tariff cut package in China,2603.23825v1.pdf
TM-SYN-0129,Synthetic trade metric 0129 (index),Customs facilitation program,India,1.27,index,Synthetic sample note 0129 for Customs facilitation program in India,2603.23825v1.pdf
TM-SYN-0130,Synthetic trade metric 0130 (percent),China WTO accession,Vietnam,11.36,percent,Synthetic sample note 0130 for China WTO accession in Vietnam,2603.23825v1.pdf
TM-SYN-0131,Synthetic trade metric 0131 (elasticity),Regional trade agreement wave,Mexico,4.77,elasticity,Synthetic sample note 0131 for Regional trade agreement wave in Mexico,2603.23825v1.pdf
TM-SYN-0132,Synthetic trade metric 0132 (probability),Export rebate reform,Brazil,0.107,probability,Synthetic sample note 0132 for Export rebate reform in Brazil,2603.23825v1.pdf
TM-SYN-0133,Synthetic trade metric 0133 (flag),Tariff cut package,Germany,0.0,flag,Synthetic sample note 0133 for Tariff cut package in Germany,2603.23825v1.pdf
TM-SYN-0134,Synthetic trade metric 0134 (index),Customs facilitation program,USA,0.6,index,Synthetic sample note 0134 for Customs facilitation program in USA,2603.23825v1.pdf
TM-SYN-0135,Synthetic trade metric 0135 (percent),China WTO accession,Japan,13.84,percent,Synthetic sample note 0135 for China WTO accession in Japan,2603.23825v1.pdf
TM-SYN-0136,Synthetic trade metric 0136 (elasticity),Regional trade agreement wave,China,1.0,elasticity,Synthetic sample note 0136 for Regional trade agreement wave in China,2603.23825v1.pdf
TM-SYN-0137,Synthetic trade metric 0137 (probability),Export rebate reform,India,0.177,probability,Synthetic sample note 0137 for Export rebate reform in India,2603.23825v1.pdf
TM-SYN-0138,Synthetic trade metric 0138 (flag),Tariff cut package,Vietnam,1.0,flag,Synthetic sample note 0138 for Tariff cut package in Vietnam,2603.23825v1.pdf
TM-SYN-0139,Synthetic trade metric 0139 (index),Customs facilitation program,Mexico,31.94,index,Synthetic sample note 0139 for Customs facilitation program in Mexico,2603.23825v1.pdf
TM-SYN-0140,Synthetic trade metric 0140 (percent),China WTO accession,Brazil,17.27,percent,Synthetic sample note 0140 for China WTO accession in Brazil,2603.23825v1.pdf
TM-SYN-0141,Synthetic trade metric 0141 (elasticity),Regional trade agreement wave,Germany,6.61,elasticity,Synthetic sample note 0141 for Regional trade agreement wave in Germany,2603.23825v1.pdf
TM-SYN-0142,Synthetic trade metric 0142 (probability),Export rebate reform,USA,0.144,probability,Synthetic sample note 0142 for Export rebate reform in USA,2603.23825v1.pdf
TM-SYN-0143,Synthetic trade metric 0143 (flag),Tariff cut package,Japan,0.0,flag,Synthetic sample note 0143 for Tariff cut package in Japan,2603.23825v1.pdf
TM-SYN-0144,Synthetic trade metric 0144 (index),Customs facilitation program,China,30.9,index,Synthetic sample note 0144 for Customs facilitation program in China,2603.23825v1.pdf
TM-SYN-0145,Synthetic trade metric 0145 (percent),China WTO accession,India,19.02,percent,Synthetic sample note 0145 for China WTO accession in India,2603.23825v1.pdf
TM-SYN-0146,Synthetic trade metric 0146 (elasticity),Regional trade agreement wave,Vietnam,6.22,elasticity,Synthetic sample note 0146 for Regional trade agreement wave in Vietnam,2603.23825v1.pdf
TM-SYN-0147,Synthetic trade metric 0147 (probability),Export rebate reform,Mexico,0.236,probability,Synthetic sample note 0147 for Export rebate reform in Mexico,2603.23825v1.pdf
TM-SYN-0148,Synthetic trade metric 0148 (flag),Tariff cut package,Brazil,1.0,flag,Synthetic sample note 0148 for Tariff cut package in Brazil,2603.23825v1.pdf
TM-SYN-0149,Synthetic trade metric 0149 (index),Customs facilitation program,Germany,2.78,index,Synthetic sample note 0149 for Customs facilitation program in Germany,2603.23825v1.pdf
TM-SYN-0150,Synthetic trade metric 0150 (percent),China WTO accession,USA,12.95,percent,Synthetic sample note 0150 for China WTO accession in USA,2603.23825v1.pdf
TM-SYN-0151,Synthetic trade metric 0151 (elasticity),Regional trade agreement wave,Japan,2.69,elasticity,Synthetic sample note 0151 for Regional trade agreement wave in Japan,2603.23825v1.pdf
TM-SYN-0152,Synthetic trade metric 0152 (probability),Export rebate reform,China,0.069,probability,Synthetic sample note 0152 for Export rebate reform in China,2603.23825v1.pdf
TM-SYN-0153,Synthetic trade metric 0153 (flag),Tariff cut package,India,0.0,flag,Synthetic sample note 0153 for Tariff cut package in India,2603.23825v1.pdf
TM-SYN-0154,Synthetic trade metric 0154 (index),Customs facilitation program,Vietnam,25.55,index,Synthetic sample note 0154 for Customs facilitation program in Vietnam,2603.23825v1.pdf
TM-SYN-0155,Synthetic trade metric 0155 (percent),China WTO accession,Mexico,31.94,percent,Synthetic sample note 0155 for China WTO accession in Mexico,2603.23825v1.pdf
TM-SYN-0156,Synthetic trade metric 0156 (elasticity),Regional trade agreement wave,Brazil,7.33,elasticity,Synthetic sample note 0156 for Regional trade agreement wave in Brazil,2603.23825v1.pdf
TM-SYN-0157,Synthetic trade metric 0157 (probability),Export rebate reform,Germany,0.242,probability,Synthetic sample note 0157 for Export rebate reform in Germany,2603.23825v1.pdf
TM-SYN-0158,Synthetic trade metric 0158 (flag),Tariff cut package,USA,1.0,flag,Synthetic sample note 0158 for Tariff cut package in USA,2603.23825v1.pdf
TM-SYN-0159,Synthetic trade metric 0159 (index),Customs facilitation program,Japan,28.36,index,Synthetic sample note 0159 for Customs facilitation program in Japan,2603.23825v1.pdf
