practice_id,practice_name,crop_system,ch4_reduction_min_pct,ch4_reduction_max_pct,water_saving_min_pct,water_saving_max_pct,soil_carbon_benefit,mrv_intensity,source_doc
PR-SYN-0049,Synthetic Mitigation Practice 0049,rice,27.9,48.4,25.2,34.7,Synthetic soil-carbon note for practice 0049 under rice,medium,2603.20674v1.pdf
PR-SYN-0050,Synthetic Mitigation Practice 0050,sugarcane,33.9,53.4,22.8,39.6,Synthetic soil-carbon note for practice 0050 under sugarcane,low,2603.20674v1.pdf
PR-SYN-0051,Synthetic Mitigation Practice 0051,wheat,,,10.1,26.2,Synthetic soil-carbon note for practice 0051 under wheat,high,2603.20674v1.pdf
PR-SYN-0052,Synthetic Mitigation Practice 0052,maize,32.7,41.4,19.5,30.7,Synthetic soil-carbon note for practice 0052 under maize,medium,2603.20674v1.pdf
PR-SYN-0053,Synthetic Mitigation Practice 0053,multi-crop,34.1,54.1,15.1,28.9,Synthetic soil-carbon note for practice 0053 under multi-crop,low,2603.20674v1.pdf
PR-SYN-0054,Synthetic Mitigation Practice 0054,soy,29.2,38.2,7.6,15.6,Synthetic soil-carbon note for practice 0054 under soy,high,2603.20674v1.pdf
PR-SYN-0055,Synthetic Mitigation Practice 0055,cotton,37.5,59.9,17.6,22.9,Synthetic soil-carbon note for practice 0055 under cotton,medium,2603.20674v1.pdf
PR-SYN-0056,Synthetic Mitigation Practice 0056,rice,7.3,15.5,25.0,39.7,Synthetic soil-carbon note for practice 0056 under rice,low,2603.20674v1.pdf
PR-SYN-0057,Synthetic Mitigation Practice 0057,sugarcane,23.0,33.2,25.0,30.6,Synthetic soil-carbon note for practice 0057 under sugarcane,high,2603.20674v1.pdf
PR-SYN-0058,Synthetic Mitigation Practice 0058,wheat,18.7,35.0,22.7,42.8,Synthetic soil-carbon note for practice 0058 under wheat,medium,2603.20674v1.pdf
PR-SYN-0059,Synthetic Mitigation Practice 0059,maize,40.5,48.2,28.4,41.9,Synthetic soil-carbon note for practice 0059 under maize,low,2603.20674v1.pdf
PR-SYN-0060,Synthetic Mitigation Practice 0060,multi-crop,29.5,54.3,16.8,41.8,Synthetic soil-carbon note for practice 0060 under multi-crop,high,2603.20674v1.pdf
PR-SYN-0061,Synthetic Mitigation Practice 0061,soy,23.5,44.5,6.1,26.3,Synthetic soil-carbon note for practice 0061 under soy,medium,2603.20674v1.pdf
PR-SYN-0062,Synthetic Mitigation Practice 0062,cotton,34.4,52.7,26.0,50.4,Synthetic soil-carbon note for practice 0062 under cotton,low,2603.20674v1.pdf
PR-SYN-0063,Synthetic Mitigation Practice 0063,rice,27.6,36.8,20.6,27.9,Synthetic soil-carbon note for practice 0063 under rice,high,2603.20674v1.pdf
PR-SYN-0064,Synthetic Mitigation Practice 0064,sugarcane,6.0,14.0,21.2,41.6,Synthetic soil-carbon note for practice 0064 under sugarcane,medium,2603.20674v1.pdf
PR-SYN-0065,Synthetic Mitigation Practice 0065,wheat,35.2,42.3,22.2,38.1,Synthetic soil-carbon note for practice 0065 under wheat,low,2603.20674v1.pdf
PR-SYN-0066,Synthetic Mitigation Practice 0066,maize,36.0,55.2,24.7,32.3,Synthetic soil-carbon note for practice 0066 under maize,high,2603.20674v1.pdf
PR-SYN-0067,Synthetic Mitigation Practice 0067,multi-crop,30.1,46.8,24.4,36.0,Synthetic soil-carbon note for practice 0067 under multi-crop,medium,2603.20674v1.pdf
PR-SYN-0068,Synthetic Mitigation Practice 0068,soy,,,24.5,43.1,Synthetic soil-carbon note for practice 0068 under soy,low,2603.20674v1.pdf
PR-SYN-0069,Synthetic Mitigation Practice 0069,cotton,16.3,35.9,8.6,16.7,Synthetic soil-carbon note for practice 0069 under cotton,high,2603.20674v1.pdf
PR-SYN-0070,Synthetic Mitigation Practice 0070,rice,32.2,46.7,14.7,24.2,Synthetic soil-carbon note for practice 0070 under rice,medium,2603.20674v1.pdf
PR-SYN-0071,Synthetic Mitigation Practice 0071,sugarcane,15.2,31.8,7.9,20.3,Synthetic soil-carbon note for practice 0071 under sugarcane,low,2603.20674v1.pdf
PR-SYN-0072,Synthetic Mitigation Practice 0072,wheat,24.4,30.6,27.5,33.9,Synthetic soil-carbon note for practice 0072 under wheat,high,2603.20674v1.pdf
PR-SYN-0073,Synthetic Mitigation Practice 0073,maize,21.1,33.8,29.7,42.4,Synthetic soil-carbon note for practice 0073 under maize,medium,2603.20674v1.pdf
PR-SYN-0074,Synthetic Mitigation Practice 0074,multi-crop,5.1,27.4,9.9,16.1,Synthetic soil-carbon note for practice 0074 under multi-crop,low,2603.20674v1.pdf
PR-SYN-0075,Synthetic Mitigation Practice 0075,soy,26.2,35.6,17.8,35.4,Synthetic soil-carbon note for practice 0075 under soy,high,2603.20674v1.pdf
PR-SYN-0076,Synthetic Mitigation Practice 0076,cotton,28.2,39.4,29.2,52.6,Synthetic soil-carbon note for practice 0076 under cotton,medium,2603.20674v1.pdf
PR-SYN-0077,Synthetic Mitigation Practice 0077,rice,28.0,41.3,10.0,39.7,Synthetic soil-carbon note for practice 0077 under rice,low,2603.20674v1.pdf
PR-SYN-0078,Synthetic Mitigation Practice 0078,sugarcane,37.3,43.1,26.2,49.3,Synthetic soil-carbon note for practice 0078 under sugarcane,high,2603.20674v1.pdf
PR-SYN-0079,Synthetic Mitigation Practice 0079,wheat,5.8,11.0,17.9,29.3,Synthetic soil-carbon note for practice 0079 under wheat,medium,2603.20674v1.pdf
PR-SYN-0080,Synthetic Mitigation Practice 0080,maize,19.8,42.7,26.6,41.3,Synthetic soil-carbon note for practice 0080 under maize,low,2603.20674v1.pdf
PR-SYN-0081,Synthetic Mitigation Practice 0081,multi-crop,27.3,35.7,10.6,27.3,Synthetic soil-carbon note for practice 0081 under multi-crop,high,2603.20674v1.pdf
PR-SYN-0082,Synthetic Mitigation Practice 0082,soy,18.3,33.8,22.0,35.5,Synthetic soil-carbon note for practice 0082 under soy,medium,2603.20674v1.pdf
PR-SYN-0083,Synthetic Mitigation Practice 0083,cotton,38.1,53.3,17.5,33.0,Synthetic soil-carbon note for practice 0083 under cotton,low,2603.20674v1.pdf
PR-SYN-0084,Synthetic Mitigation Practice 0084,rice,23.2,47.1,12.2,19.6,Synthetic soil-carbon note for practice 0084 under rice,high,2603.20674v1.pdf
PR-SYN-0085,Synthetic Mitigation Practice 0085,sugarcane,,,5.6,34.0,Synthetic soil-carbon note for practice 0085 under sugarcane,medium,2603.20674v1.pdf
PR-SYN-0086,Synthetic Mitigation Practice 0086,wheat,23.7,46.0,18.8,25.3,Synthetic soil-carbon note for practice 0086 under wheat,low,2603.20674v1.pdf
PR-SYN-0087,Synthetic Mitigation Practice 0087,maize,27.7,45.9,23.1,32.7,Synthetic soil-carbon note for practice 0087 under maize,high,2603.20674v1.pdf
PR-SYN-0088,Synthetic Mitigation Practice 0088,multi-crop,40.0,48.9,17.8,43.7,Synthetic soil-carbon note for practice 0088 under multi-crop,medium,2603.20674v1.pdf
PR-SYN-0089,Synthetic Mitigation Practice 0089,soy,39.3,63.2,14.0,19.1,Synthetic soil-carbon note for practice 0089 under soy,low,2603.20674v1.pdf
PR-SYN-0090,Synthetic Mitigation Practice 0090,cotton,36.5,56.2,7.2,27.1,Synthetic soil-carbon note for practice 0090 under cotton,high,2603.20674v1.pdf
PR-SYN-0091,Synthetic Mitigation Practice 0091,rice,14.5,35.6,11.7,20.4,Synthetic soil-carbon note for practice 0091 under rice,medium,2603.20674v1.pdf
PR-SYN-0092,Synthetic Mitigation Practice 0092,sugarcane,42.9,48.5,18.2,40.9,Synthetic soil-carbon note for practice 0092 under sugarcane,low,2603.20674v1.pdf
PR-SYN-0093,Synthetic Mitigation Practice 0093,wheat,14.2,24.2,12.8,17.8,Synthetic soil-carbon note for practice 0093 under wheat,high,2603.20674v1.pdf
PR-SYN-0094,Synthetic Mitigation Practice 0094,maize,25.6,37.1,7.9,33.7,Synthetic soil-carbon note for practice 0094 under maize,medium,2603.20674v1.pdf
PR-SYN-0095,Synthetic Mitigation Practice 0095,multi-crop,31.6,36.7,7.4,18.0,Synthetic soil-carbon note for practice 0095 under multi-crop,low,2603.20674v1.pdf
PR-SYN-0096,Synthetic Mitigation Practice 0096,soy,40.4,46.3,16.2,28.5,Synthetic soil-carbon note for practice 0096 under soy,high,2603.20674v1.pdf
PR-SYN-0097,Synthetic Mitigation Practice 0097,cotton,42.8,64.6,27.5,36.8,Synthetic soil-carbon note for practice 0097 under cotton,medium,2603.20674v1.pdf
PR-SYN-0098,Synthetic Mitigation Practice 0098,rice,21.4,40.2,24.9,46.8,Synthetic soil-carbon note for practice 0098 under rice,low,2603.20674v1.pdf
PR-SYN-0099,Synthetic Mitigation Practice 0099,sugarcane,37.1,45.1,17.2,46.1,Synthetic soil-carbon note for practice 0099 under sugarcane,high,2603.20674v1.pdf
PR-SYN-0100,Synthetic Mitigation Practice 0100,wheat,30.7,45.1,21.2,47.3,Synthetic soil-carbon note for practice 0100 under wheat,medium,2603.20674v1.pdf
PR-SYN-0101,Synthetic Mitigation Practice 0101,maize,26.7,49.5,18.7,45.3,Synthetic soil-carbon note for practice 0101 under maize,low,2603.20674v1.pdf
PR-SYN-0102,Synthetic Mitigation Practice 0102,multi-crop,,,9.1,32.6,Synthetic soil-carbon note for practice 0102 under multi-crop,high,2603.20674v1.pdf
PR-SYN-0103,Synthetic Mitigation Practice 0103,soy,20.7,44.1,25.2,31.9,Synthetic soil-carbon note for practice 0103 under soy,medium,2603.20674v1.pdf
PR-SYN-0104,Synthetic Mitigation Practice 0104,cotton,42.5,65.6,18.5,45.2,Synthetic soil-carbon note for practice 0104 under cotton,low,2603.20674v1.pdf
PR-SYN-0105,Synthetic Mitigation Practice 0105,rice,29.1,40.7,9.8,18.1,Synthetic soil-carbon note for practice 0105 under rice,high,2603.20674v1.pdf
PR-SYN-0106,Synthetic Mitigation Practice 0106,sugarcane,39.9,51.1,26.2,49.6,Synthetic soil-carbon note for practice 0106 under sugarcane,medium,2603.20674v1.pdf
PR-SYN-0107,Synthetic Mitigation Practice 0107,wheat,15.8,35.6,16.4,37.5,Synthetic soil-carbon note for practice 0107 under wheat,low,2603.20674v1.pdf
PR-SYN-0108,Synthetic Mitigation Practice 0108,maize,8.7,31.5,21.5,37.5,Synthetic soil-carbon note for practice 0108 under maize,high,2603.20674v1.pdf
PR-SYN-0109,Synthetic Mitigation Practice 0109,multi-crop,21.6,44.0,7.3,12.5,Synthetic soil-carbon note for practice 0109 under multi-crop,medium,2603.20674v1.pdf
PR-SYN-0110,Synthetic Mitigation Practice 0110,soy,25.3,41.8,5.3,23.1,Synthetic soil-carbon note for practice 0110 under soy,low,2603.20674v1.pdf
PR-SYN-0111,Synthetic Mitigation Practice 0111,cotton,41.3,47.6,6.0,29.2,Synthetic soil-carbon note for practice 0111 under cotton,high,2603.20674v1.pdf
PR-SYN-0112,Synthetic Mitigation Practice 0112,rice,36.2,50.5,16.0,40.0,Synthetic soil-carbon note for practice 0112 under rice,medium,2603.20674v1.pdf
PR-SYN-0113,Synthetic Mitigation Practice 0113,sugarcane,40.9,59.0,11.9,23.4,Synthetic soil-carbon note for practice 0113 under sugarcane,low,2603.20674v1.pdf
PR-SYN-0114,Synthetic Mitigation Practice 0114,wheat,25.9,45.9,16.8,33.9,Synthetic soil-carbon note for practice 0114 under wheat,high,2603.20674v1.pdf
PR-SYN-0115,Synthetic Mitigation Practice 0115,maize,23.9,48.5,6.6,14.4,Synthetic soil-carbon note for practice 0115 under maize,medium,2603.20674v1.pdf
PR-SYN-0116,Synthetic Mitigation Practice 0116,multi-crop,39.3,48.0,14.2,26.4,Synthetic soil-carbon note for practice 0116 under multi-crop,low,2603.20674v1.pdf
PR-SYN-0117,Synthetic Mitigation Practice 0117,soy,6.8,20.7,12.1,33.8,Synthetic soil-carbon note for practice 0117 under soy,high,2603.20674v1.pdf
PR-SYN-0118,Synthetic Mitigation Practice 0118,cotton,25.9,33.6,18.5,33.8,Synthetic soil-carbon note for practice 0118 under cotton,medium,2603.20674v1.pdf
PR-SYN-0119,Synthetic Mitigation Practice 0119,rice,,,10.5,37.5,Synthetic soil-carbon note for practice 0119 under rice,low,2603.20674v1.pdf
PR-SYN-0120,Synthetic Mitigation Practice 0120,sugarcane,38.2,49.5,12.9,38.2,Synthetic soil-carbon note for practice 0120 under sugarcane,high,2603.20674v1.pdf
PR-SYN-0121,Synthetic Mitigation Practice 0121,wheat,31.9,56.7,12.0,24.1,Synthetic soil-carbon note for practice 0121 under wheat,medium,2603.20674v1.pdf
PR-SYN-0122,Synthetic Mitigation Practice 0122,maize,42.1,50.1,10.0,32.4,Synthetic soil-carbon note for practice 0122 under maize,low,2603.20674v1.pdf
PR-SYN-0123,Synthetic Mitigation Practice 0123,multi-crop,18.2,36.9,11.0,26.3,Synthetic soil-carbon note for practice 0123 under multi-crop,high,2603.20674v1.pdf
PR-SYN-0124,Synthetic Mitigation Practice 0124,soy,14.7,33.6,29.0,54.3,Synthetic soil-carbon note for practice 0124 under soy,medium,2603.20674v1.pdf
PR-SYN-0125,Synthetic Mitigation Practice 0125,cotton,44.6,62.6,15.3,33.5,Synthetic soil-carbon note for practice 0125 under cotton,low,2603.20674v1.pdf
PR-SYN-0126,Synthetic Mitigation Practice 0126,rice,7.3,16.2,19.0,26.4,Synthetic soil-carbon note for practice 0126 under rice,high,2603.20674v1.pdf
PR-SYN-0127,Synthetic Mitigation Practice 0127,sugarcane,9.6,26.8,27.2,53.1,Synthetic soil-carbon note for practice 0127 under sugarcane,medium,2603.20674v1.pdf
PR-SYN-0128,Synthetic Mitigation Practice 0128,wheat,10.6,27.1,27.7,49.6,Synthetic soil-carbon note for practice 0128 under wheat,low,2603.20674v1.pdf
PR-SYN-0129,Synthetic Mitigation Practice 0129,maize,35.3,45.8,25.6,33.9,Synthetic soil-carbon note for practice 0129 under maize,high,2603.20674v1.pdf
PR-SYN-0130,Synthetic Mitigation Practice 0130,multi-crop,32.9,45.1,22.3,33.7,Synthetic soil-carbon note for practice 0130 under multi-crop,medium,2603.20674v1.pdf
PR-SYN-0131,Synthetic Mitigation Practice 0131,soy,20.4,30.7,5.8,32.6,Synthetic soil-carbon note for practice 0131 under soy,low,2603.20674v1.pdf
PR-SYN-0132,Synthetic Mitigation Practice 0132,cotton,31.8,36.8,14.3,42.1,Synthetic soil-carbon note for practice 0132 under cotton,high,2603.20674v1.pdf
PR-SYN-0133,Synthetic Mitigation Practice 0133,rice,8.1,22.5,5.2,22.3,Synthetic soil-carbon note for practice 0133 under rice,medium,2603.20674v1.pdf
PR-SYN-0134,Synthetic Mitigation Practice 0134,sugarcane,25.1,39.2,28.9,41.7,Synthetic soil-carbon note for practice 0134 under sugarcane,low,2603.20674v1.pdf
PR-SYN-0135,Synthetic Mitigation Practice 0135,wheat,43.8,50.9,29.1,53.6,Synthetic soil-carbon note for practice 0135 under wheat,high,2603.20674v1.pdf
PR-SYN-0136,Synthetic Mitigation Practice 0136,maize,,,29.9,52.1,Synthetic soil-carbon note for practice 0136 under maize,medium,2603.20674v1.pdf
PR-SYN-0137,Synthetic Mitigation Practice 0137,multi-crop,33.4,38.9,15.5,44.1,Synthetic soil-carbon note for practice 0137 under multi-crop,low,2603.20674v1.pdf
PR-SYN-0138,Synthetic Mitigation Practice 0138,soy,17.7,32.5,14.8,41.5,Synthetic soil-carbon note for practice 0138 under soy,high,2603.20674v1.pdf
PR-SYN-0139,Synthetic Mitigation Practice 0139,cotton,27.7,47.9,12.8,38.4,Synthetic soil-carbon note for practice 0139 under cotton,medium,2603.20674v1.pdf
PR-SYN-0140,Synthetic Mitigation Practice 0140,rice,29.0,39.5,8.9,26.7,Synthetic soil-carbon note for practice 0140 under rice,low,2603.20674v1.pdf
PR-SYN-0141,Synthetic Mitigation Practice 0141,sugarcane,36.2,44.6,10.9,30.0,Synthetic soil-carbon note for practice 0141 under sugarcane,high,2603.20674v1.pdf
PR-SYN-0142,Synthetic Mitigation Practice 0142,wheat,8.9,23.3,26.0,44.6,Synthetic soil-carbon note for practice 0142 under wheat,medium,2603.20674v1.pdf
PR-SYN-0143,Synthetic Mitigation Practice 0143,maize,40.8,51.0,16.2,37.8,Synthetic soil-carbon note for practice 0143 under maize,low,2603.20674v1.pdf
PR-SYN-0144,Synthetic Mitigation Practice 0144,multi-crop,14.4,32.3,21.0,44.2,Synthetic soil-carbon note for practice 0144 under multi-crop,high,2603.20674v1.pdf
PR-SYN-0145,Synthetic Mitigation Practice 0145,soy,31.0,47.7,6.6,20.0,Synthetic soil-carbon note for practice 0145 under soy,medium,2603.20674v1.pdf
PR-SYN-0146,Synthetic Mitigation Practice 0146,cotton,30.0,50.4,25.5,35.5,Synthetic soil-carbon note for practice 0146 under cotton,low,2603.20674v1.pdf
PR-SYN-0147,Synthetic Mitigation Practice 0147,rice,42.2,55.3,12.2,36.8,Synthetic soil-carbon note for practice 0147 under rice,high,2603.20674v1.pdf
PR-SYN-0148,Synthetic Mitigation Practice 0148,sugarcane,30.8,55.3,29.8,52.0,Synthetic soil-carbon note for practice 0148 under sugarcane,medium,2603.20674v1.pdf
PR-SYN-0149,Synthetic Mitigation Practice 0149,wheat,23.9,29.7,5.3,15.1,Synthetic soil-carbon note for practice 0149 under wheat,low,2603.20674v1.pdf
PR-SYN-0150,Synthetic Mitigation Practice 0150,maize,28.7,42.5,21.3,28.0,Synthetic soil-carbon note for practice 0150 under maize,high,2603.20674v1.pdf
PR-SYN-0151,Synthetic Mitigation Practice 0151,multi-crop,36.6,53.0,16.7,27.2,Synthetic soil-carbon note for practice 0151 under multi-crop,medium,2603.20674v1.pdf
PR-SYN-0152,Synthetic Mitigation Practice 0152,soy,7.9,31.7,18.6,27.5,Synthetic soil-carbon note for practice 0152 under soy,low,2603.20674v1.pdf
PR-SYN-0153,Synthetic Mitigation Practice 0153,cotton,,,15.8,30.7,Synthetic soil-carbon note for practice 0153 under cotton,high,2603.20674v1.pdf
PR-SYN-0154,Synthetic Mitigation Practice 0154,rice,39.7,51.3,15.7,42.8,Synthetic soil-carbon note for practice 0154 under rice,medium,2603.20674v1.pdf
PR-SYN-0155,Synthetic Mitigation Practice 0155,sugarcane,33.0,44.1,16.5,25.0,Synthetic soil-carbon note for practice 0155 under sugarcane,low,2603.20674v1.pdf
PR-SYN-0156,Synthetic Mitigation Practice 0156,wheat,14.8,35.7,21.9,49.6,Synthetic soil-carbon note for practice 0156 under wheat,high,2603.20674v1.pdf
PR-SYN-0157,Synthetic Mitigation Practice 0157,maize,30.5,40.5,16.8,35.8,Synthetic soil-carbon note for practice 0157 under maize,medium,2603.20674v1.pdf
PR-SYN-0158,Synthetic Mitigation Practice 0158,multi-crop,35.6,57.6,5.8,31.3,Synthetic soil-carbon note for practice 0158 under multi-crop,low,2603.20674v1.pdf
