scenario_id,scenario_name,country,year,expenditure_reduction_pct,mechanism,bunching_risk,source_doc
SC-SYN-0023,Synthetic electricity-carbon scenario 0023 (Poland 2023),Poland,2023,2.48,capacity_market_offset,high,2603.25874v1.pdf
SC-SYN-0024,Synthetic electricity-carbon scenario 0024 (EU 2024),EU,2024,0.65,green_certificate,low,2603.25874v1.pdf
SC-SYN-0025,Synthetic electricity-carbon scenario 0025 (Netherlands 2025),Netherlands,2025,1.37,settlement_deduction,medium,2603.25874v1.pdf
SC-SYN-0026,Synthetic electricity-carbon scenario 0026 (Belgium 2026),Belgium,2026,0.0,hard_threshold,high,2603.25874v1.pdf
SC-SYN-0027,Synthetic electricity-carbon scenario 0027 (Austria 2027),Austria,2027,0.0,linear_ramp,low,2603.25874v1.pdf
SC-SYN-0028,Synthetic electricity-carbon scenario 0028 (Germany 2028),Germany,2028,9.02,capacity_market_offset,medium,2603.25874v1.pdf
SC-SYN-0029,Synthetic electricity-carbon scenario 0029 (France 2029),France,2029,8.12,green_certificate,high,2603.25874v1.pdf
SC-SYN-0030,Synthetic electricity-carbon scenario 0030 (Spain 2020),Spain,2020,10.12,settlement_deduction,low,2603.25874v1.pdf
SC-SYN-0031,Synthetic electricity-carbon scenario 0031 (Italy 2021),Italy,2021,0.0,hard_threshold,medium,2603.25874v1.pdf
SC-SYN-0032,Synthetic electricity-carbon scenario 0032 (Poland 2022),Poland,2022,0.0,linear_ramp,high,2603.25874v1.pdf
SC-SYN-0033,Synthetic electricity-carbon scenario 0033 (EU 2023),EU,2023,4.72,capacity_market_offset,low,2603.25874v1.pdf
SC-SYN-0034,Synthetic electricity-carbon scenario 0034 (Netherlands 2024),Netherlands,2024,2.63,green_certificate,medium,2603.25874v1.pdf
SC-SYN-0035,Synthetic electricity-carbon scenario 0035 (Belgium 2025),Belgium,2025,7.39,settlement_deduction,high,2603.25874v1.pdf
SC-SYN-0036,Synthetic electricity-carbon scenario 0036 (Austria 2026),Austria,2026,0.0,hard_threshold,low,2603.25874v1.pdf
SC-SYN-0037,Synthetic electricity-carbon scenario 0037 (Germany 2027),Germany,2027,0.0,linear_ramp,medium,2603.25874v1.pdf
SC-SYN-0038,Synthetic electricity-carbon scenario 0038 (France 2028),France,2028,4.84,capacity_market_offset,high,2603.25874v1.pdf
SC-SYN-0039,Synthetic electricity-carbon scenario 0039 (Spain 2029),Spain,2029,11.33,green_certificate,low,2603.25874v1.pdf
SC-SYN-0040,Synthetic electricity-carbon scenario 0040 (Italy 2020),Italy,2020,1.94,settlement_deduction,medium,2603.25874v1.pdf
SC-SYN-0041,Synthetic electricity-carbon scenario 0041 (Poland 2021),Poland,2021,0.0,hard_threshold,high,2603.25874v1.pdf
SC-SYN-0042,Synthetic electricity-carbon scenario 0042 (EU 2022),EU,2022,0.0,linear_ramp,low,2603.25874v1.pdf
SC-SYN-0043,Synthetic electricity-carbon scenario 0043 (Netherlands 2023),Netherlands,2023,4.41,capacity_market_offset,medium,2603.25874v1.pdf
SC-SYN-0044,Synthetic electricity-carbon scenario 0044 (Belgium 2024),Belgium,2024,1.17,green_certificate,high,2603.25874v1.pdf
SC-SYN-0045,Synthetic electricity-carbon scenario 0045 (Austria 2025),Austria,2025,10.26,settlement_deduction,low,2603.25874v1.pdf
SC-SYN-0046,Synthetic electricity-carbon scenario 0046 (Germany 2026),Germany,2026,0.0,hard_threshold,medium,2603.25874v1.pdf
SC-SYN-0047,Synthetic electricity-carbon scenario 0047 (France 2027),France,2027,0.0,linear_ramp,high,2603.25874v1.pdf
SC-SYN-0048,Synthetic electricity-carbon scenario 0048 (Spain 2028),Spain,2028,4.6,capacity_market_offset,low,2603.25874v1.pdf
SC-SYN-0049,Synthetic electricity-carbon scenario 0049 (Italy 2029),Italy,2029,11.91,green_certificate,medium,2603.25874v1.pdf
SC-SYN-0050,Synthetic electricity-carbon scenario 0050 (Poland 2020),Poland,2020,5.09,settlement_deduction,high,2603.25874v1.pdf
SC-SYN-0051,Synthetic electricity-carbon scenario 0051 (EU 2021),EU,2021,0.0,hard_threshold,low,2603.25874v1.pdf
SC-SYN-0052,Synthetic electricity-carbon scenario 0052 (Netherlands 2022),Netherlands,2022,0.0,linear_ramp,medium,2603.25874v1.pdf
SC-SYN-0053,Synthetic electricity-carbon scenario 0053 (Belgium 2023),Belgium,2023,4.73,capacity_market_offset,high,2603.25874v1.pdf
SC-SYN-0054,Synthetic electricity-carbon scenario 0054 (Austria 2024),Austria,2024,1.06,green_certificate,low,2603.25874v1.pdf
SC-SYN-0055,Synthetic electricity-carbon scenario 0055 (Germany 2025),Germany,2025,10.21,settlement_deduction,medium,2603.25874v1.pdf
SC-SYN-0056,Synthetic electricity-carbon scenario 0056 (France 2026),France,2026,0.0,hard_threshold,high,2603.25874v1.pdf
SC-SYN-0057,Synthetic electricity-carbon scenario 0057 (Spain 2027),Spain,2027,0.0,linear_ramp,low,2603.25874v1.pdf
SC-SYN-0058,Synthetic electricity-carbon scenario 0058 (Italy 2028),Italy,2028,7.3,capacity_market_offset,medium,2603.25874v1.pdf
SC-SYN-0059,Synthetic electricity-carbon scenario 0059 (Poland 2029),Poland,2029,7.97,green_certificate,high,2603.25874v1.pdf
SC-SYN-0060,Synthetic electricity-carbon scenario 0060 (EU 2020),EU,2020,6.94,settlement_deduction,low,2603.25874v1.pdf
SC-SYN-0061,Synthetic electricity-carbon scenario 0061 (Netherlands 2021),Netherlands,2021,0.0,hard_threshold,medium,2603.25874v1.pdf
SC-SYN-0062,Synthetic electricity-carbon scenario 0062 (Belgium 2022),Belgium,2022,0.0,linear_ramp,high,2603.25874v1.pdf
SC-SYN-0063,Synthetic electricity-carbon scenario 0063 (Austria 2023),Austria,2023,2.61,capacity_market_offset,low,2603.25874v1.pdf
SC-SYN-0064,Synthetic electricity-carbon scenario 0064 (Germany 2024),Germany,2024,2.52,green_certificate,medium,2603.25874v1.pdf
SC-SYN-0065,Synthetic electricity-carbon scenario 0065 (France 2025),France,2025,3.01,settlement_deduction,high,2603.25874v1.pdf
SC-SYN-0066,Synthetic electricity-carbon scenario 0066 (Spain 2026),Spain,2026,0.0,hard_threshold,low,2603.25874v1.pdf
SC-SYN-0067,Synthetic electricity-carbon scenario 0067 (Italy 2027),Italy,2027,0.0,linear_ramp,medium,2603.25874v1.pdf
SC-SYN-0068,Synthetic electricity-carbon scenario 0068 (Poland 2028),Poland,2028,1.04,capacity_market_offset,high,2603.25874v1.pdf
SC-SYN-0069,Synthetic electricity-carbon scenario 0069 (EU 2029),EU,2029,2.73,green_certificate,low,2603.25874v1.pdf
SC-SYN-0070,Synthetic electricity-carbon scenario 0070 (Netherlands 2020),Netherlands,2020,1.34,settlement_deduction,medium,2603.25874v1.pdf
SC-SYN-0071,Synthetic electricity-carbon scenario 0071 (Belgium 2021),Belgium,2021,0.0,hard_threshold,high,2603.25874v1.pdf
SC-SYN-0072,Synthetic electricity-carbon scenario 0072 (Austria 2022),Austria,2022,0.0,linear_ramp,low,2603.25874v1.pdf
SC-SYN-0073,Synthetic electricity-carbon scenario 0073 (Germany 2023),Germany,2023,2.01,capacity_market_offset,medium,2603.25874v1.pdf
SC-SYN-0074,Synthetic electricity-carbon scenario 0074 (France 2024),France,2024,6.39,green_certificate,high,2603.25874v1.pdf
SC-SYN-0075,Synthetic electricity-carbon scenario 0075 (Spain 2025),Spain,2025,1.33,settlement_deduction,low,2603.25874v1.pdf
SC-SYN-0076,Synthetic electricity-carbon scenario 0076 (Italy 2026),Italy,2026,0.0,hard_threshold,medium,2603.25874v1.pdf
SC-SYN-0077,Synthetic electricity-carbon scenario 0077 (Poland 2027),Poland,2027,0.0,linear_ramp,high,2603.25874v1.pdf
SC-SYN-0078,Synthetic electricity-carbon scenario 0078 (EU 2028),EU,2028,2.71,capacity_market_offset,low,2603.25874v1.pdf
SC-SYN-0079,Synthetic electricity-carbon scenario 0079 (Netherlands 2029),Netherlands,2029,6.99,green_certificate,medium,2603.25874v1.pdf
SC-SYN-0080,Synthetic electricity-carbon scenario 0080 (Belgium 2020),Belgium,2020,8.23,settlement_deduction,high,2603.25874v1.pdf
SC-SYN-0081,Synthetic electricity-carbon scenario 0081 (Austria 2021),Austria,2021,0.0,hard_threshold,low,2603.25874v1.pdf
SC-SYN-0082,Synthetic electricity-carbon scenario 0082 (Germany 2022),Germany,2022,0.0,linear_ramp,medium,2603.25874v1.pdf
SC-SYN-0083,Synthetic electricity-carbon scenario 0083 (France 2023),France,2023,7.99,capacity_market_offset,high,2603.25874v1.pdf
SC-SYN-0084,Synthetic electricity-carbon scenario 0084 (Spain 2024),Spain,2024,2.44,green_certificate,low,2603.25874v1.pdf
SC-SYN-0085,Synthetic electricity-carbon scenario 0085 (Italy 2025),Italy,2025,6.38,settlement_deduction,medium,2603.25874v1.pdf
SC-SYN-0086,Synthetic electricity-carbon scenario 0086 (Poland 2026),Poland,2026,0.0,hard_threshold,high,2603.25874v1.pdf
SC-SYN-0087,Synthetic electricity-carbon scenario 0087 (EU 2027),EU,2027,0.0,linear_ramp,low,2603.25874v1.pdf
SC-SYN-0088,Synthetic electricity-carbon scenario 0088 (Netherlands 2028),Netherlands,2028,8.32,capacity_market_offset,medium,2603.25874v1.pdf
SC-SYN-0089,Synthetic electricity-carbon scenario 0089 (Belgium 2029),Belgium,2029,8.23,green_certificate,high,2603.25874v1.pdf
SC-SYN-0090,Synthetic electricity-carbon scenario 0090 (Austria 2020),Austria,2020,10.12,settlement_deduction,low,2603.25874v1.pdf
SC-SYN-0091,Synthetic electricity-carbon scenario 0091 (Germany 2021),Germany,2021,0.0,hard_threshold,medium,2603.25874v1.pdf
SC-SYN-0092,Synthetic electricity-carbon scenario 0092 (France 2022),France,2022,0.0,linear_ramp,high,2603.25874v1.pdf
SC-SYN-0093,Synthetic electricity-carbon scenario 0093 (Spain 2023),Spain,2023,5.89,capacity_market_offset,low,2603.25874v1.pdf
SC-SYN-0094,Synthetic electricity-carbon scenario 0094 (Italy 2024),Italy,2024,4.44,green_certificate,medium,2603.25874v1.pdf
SC-SYN-0095,Synthetic electricity-carbon scenario 0095 (Poland 2025),Poland,2025,5.26,settlement_deduction,high,2603.25874v1.pdf
SC-SYN-0096,Synthetic electricity-carbon scenario 0096 (EU 2026),EU,2026,0.0,hard_threshold,low,2603.25874v1.pdf
SC-SYN-0097,Synthetic electricity-carbon scenario 0097 (Netherlands 2027),Netherlands,2027,0.0,linear_ramp,medium,2603.25874v1.pdf
SC-SYN-0098,Synthetic electricity-carbon scenario 0098 (Belgium 2028),Belgium,2028,3.74,capacity_market_offset,high,2603.25874v1.pdf
SC-SYN-0099,Synthetic electricity-carbon scenario 0099 (Austria 2029),Austria,2029,6.7,green_certificate,low,2603.25874v1.pdf
SC-SYN-0100,Synthetic electricity-carbon scenario 0100 (Germany 2020),Germany,2020,11.36,settlement_deduction,medium,2603.25874v1.pdf
SC-SYN-0101,Synthetic electricity-carbon scenario 0101 (France 2021),France,2021,0.0,hard_threshold,high,2603.25874v1.pdf
SC-SYN-0102,Synthetic electricity-carbon scenario 0102 (Spain 2022),Spain,2022,0.0,linear_ramp,low,2603.25874v1.pdf
SC-SYN-0103,Synthetic electricity-carbon scenario 0103 (Italy 2023),Italy,2023,8.73,capacity_market_offset,medium,2603.25874v1.pdf
SC-SYN-0104,Synthetic electricity-carbon scenario 0104 (Poland 2024),Poland,2024,4.19,green_certificate,high,2603.25874v1.pdf
SC-SYN-0105,Synthetic electricity-carbon scenario 0105 (EU 2025),EU,2025,4.54,settlement_deduction,low,2603.25874v1.pdf
SC-SYN-0106,Synthetic electricity-carbon scenario 0106 (Netherlands 2026),Netherlands,2026,0.0,hard_threshold,medium,2603.25874v1.pdf
SC-SYN-0107,Synthetic electricity-carbon scenario 0107 (Belgium 2027),Belgium,2027,0.0,linear_ramp,high,2603.25874v1.pdf
SC-SYN-0108,Synthetic electricity-carbon scenario 0108 (Austria 2028),Austria,2028,2.38,capacity_market_offset,low,2603.25874v1.pdf
SC-SYN-0109,Synthetic electricity-carbon scenario 0109 (Germany 2029),Germany,2029,7.17,green_certificate,medium,2603.25874v1.pdf
SC-SYN-0110,Synthetic electricity-carbon scenario 0110 (France 2020),France,2020,1.98,settlement_deduction,high,2603.25874v1.pdf
SC-SYN-0111,Synthetic electricity-carbon scenario 0111 (Spain 2021),Spain,2021,0.0,hard_threshold,low,2603.25874v1.pdf
SC-SYN-0112,Synthetic electricity-carbon scenario 0112 (Italy 2022),Italy,2022,0.0,linear_ramp,medium,2603.25874v1.pdf
SC-SYN-0113,Synthetic electricity-carbon scenario 0113 (Poland 2023),Poland,2023,6.65,capacity_market_offset,high,2603.25874v1.pdf
SC-SYN-0114,Synthetic electricity-carbon scenario 0114 (EU 2024),EU,2024,9.61,green_certificate,low,2603.25874v1.pdf
SC-SYN-0115,Synthetic electricity-carbon scenario 0115 (Netherlands 2025),Netherlands,2025,5.69,settlement_deduction,medium,2603.25874v1.pdf
SC-SYN-0116,Synthetic electricity-carbon scenario 0116 (Belgium 2026),Belgium,2026,0.0,hard_threshold,high,2603.25874v1.pdf
SC-SYN-0117,Synthetic electricity-carbon scenario 0117 (Austria 2027),Austria,2027,0.0,linear_ramp,low,2603.25874v1.pdf
SC-SYN-0118,Synthetic electricity-carbon scenario 0118 (Germany 2028),Germany,2028,5.71,capacity_market_offset,medium,2603.25874v1.pdf
SC-SYN-0119,Synthetic electricity-carbon scenario 0119 (France 2029),France,2029,11.49,green_certificate,high,2603.25874v1.pdf
SC-SYN-0120,Synthetic electricity-carbon scenario 0120 (Spain 2020),Spain,2020,8.45,settlement_deduction,low,2603.25874v1.pdf
SC-SYN-0121,Synthetic electricity-carbon scenario 0121 (Italy 2021),Italy,2021,0.0,hard_threshold,medium,2603.25874v1.pdf
SC-SYN-0122,Synthetic electricity-carbon scenario 0122 (Poland 2022),Poland,2022,0.0,linear_ramp,high,2603.25874v1.pdf
SC-SYN-0123,Synthetic electricity-carbon scenario 0123 (EU 2023),EU,2023,3.24,capacity_market_offset,low,2603.25874v1.pdf
SC-SYN-0124,Synthetic electricity-carbon scenario 0124 (Netherlands 2024),Netherlands,2024,9.71,green_certificate,medium,2603.25874v1.pdf
SC-SYN-0125,Synthetic electricity-carbon scenario 0125 (Belgium 2025),Belgium,2025,10.27,settlement_deduction,high,2603.25874v1.pdf
SC-SYN-0126,Synthetic electricity-carbon scenario 0126 (Austria 2026),Austria,2026,0.0,hard_threshold,low,2603.25874v1.pdf
SC-SYN-0127,Synthetic electricity-carbon scenario 0127 (Germany 2027),Germany,2027,0.0,linear_ramp,medium,2603.25874v1.pdf
SC-SYN-0128,Synthetic electricity-carbon scenario 0128 (France 2028),France,2028,11.93,capacity_market_offset,high,2603.25874v1.pdf
SC-SYN-0129,Synthetic electricity-carbon scenario 0129 (Spain 2029),Spain,2029,10.99,green_certificate,low,2603.25874v1.pdf
SC-SYN-0130,Synthetic electricity-carbon scenario 0130 (Italy 2020),Italy,2020,2.92,settlement_deduction,medium,2603.25874v1.pdf
SC-SYN-0131,Synthetic electricity-carbon scenario 0131 (Poland 2021),Poland,2021,0.0,hard_threshold,high,2603.25874v1.pdf
SC-SYN-0132,Synthetic electricity-carbon scenario 0132 (EU 2022),EU,2022,0.0,linear_ramp,low,2603.25874v1.pdf
SC-SYN-0133,Synthetic electricity-carbon scenario 0133 (Netherlands 2023),Netherlands,2023,5.36,capacity_market_offset,medium,2603.25874v1.pdf
SC-SYN-0134,Synthetic electricity-carbon scenario 0134 (Belgium 2024),Belgium,2024,8.18,green_certificate,high,2603.25874v1.pdf
SC-SYN-0135,Synthetic electricity-carbon scenario 0135 (Austria 2025),Austria,2025,9.43,settlement_deduction,low,2603.25874v1.pdf
SC-SYN-0136,Synthetic electricity-carbon scenario 0136 (Germany 2026),Germany,2026,0.0,hard_threshold,medium,2603.25874v1.pdf
SC-SYN-0137,Synthetic electricity-carbon scenario 0137 (France 2027),France,2027,0.0,linear_ramp,high,2603.25874v1.pdf
SC-SYN-0138,Synthetic electricity-carbon scenario 0138 (Spain 2028),Spain,2028,7.56,capacity_market_offset,low,2603.25874v1.pdf
SC-SYN-0139,Synthetic electricity-carbon scenario 0139 (Italy 2029),Italy,2029,1.32,green_certificate,medium,2603.25874v1.pdf
SC-SYN-0140,Synthetic electricity-carbon scenario 0140 (Poland 2020),Poland,2020,8.45,settlement_deduction,high,2603.25874v1.pdf
SC-SYN-0141,Synthetic electricity-carbon scenario 0141 (EU 2021),EU,2021,0.0,hard_threshold,low,2603.25874v1.pdf
SC-SYN-0142,Synthetic electricity-carbon scenario 0142 (Netherlands 2022),Netherlands,2022,0.0,linear_ramp,medium,2603.25874v1.pdf
SC-SYN-0143,Synthetic electricity-carbon scenario 0143 (Belgium 2023),Belgium,2023,6.11,capacity_market_offset,high,2603.25874v1.pdf
SC-SYN-0144,Synthetic electricity-carbon scenario 0144 (Austria 2024),Austria,2024,6.95,green_certificate,low,2603.25874v1.pdf
SC-SYN-0145,Synthetic electricity-carbon scenario 0145 (Germany 2025),Germany,2025,2.4,settlement_deduction,medium,2603.25874v1.pdf
SC-SYN-0146,Synthetic electricity-carbon scenario 0146 (France 2026),France,2026,0.0,hard_threshold,high,2603.25874v1.pdf
SC-SYN-0147,Synthetic electricity-carbon scenario 0147 (Spain 2027),Spain,2027,0.0,linear_ramp,low,2603.25874v1.pdf
SC-SYN-0148,Synthetic electricity-carbon scenario 0148 (Italy 2028),Italy,2028,4.52,capacity_market_offset,medium,2603.25874v1.pdf
SC-SYN-0149,Synthetic electricity-carbon scenario 0149 (Poland 2029),Poland,2029,2.54,green_certificate,high,2603.25874v1.pdf
SC-SYN-0150,Synthetic electricity-carbon scenario 0150 (EU 2020),EU,2020,5.28,settlement_deduction,low,2603.25874v1.pdf
SC-SYN-0151,Synthetic electricity-carbon scenario 0151 (Netherlands 2021),Netherlands,2021,0.0,hard_threshold,medium,2603.25874v1.pdf
SC-SYN-0152,Synthetic electricity-carbon scenario 0152 (Belgium 2022),Belgium,2022,0.0,linear_ramp,high,2603.25874v1.pdf
SC-SYN-0153,Synthetic electricity-carbon scenario 0153 (Austria 2023),Austria,2023,1.17,capacity_market_offset,low,2603.25874v1.pdf
SC-SYN-0154,Synthetic electricity-carbon scenario 0154 (Germany 2024),Germany,2024,2.51,green_certificate,medium,2603.25874v1.pdf
SC-SYN-0155,Synthetic electricity-carbon scenario 0155 (France 2025),France,2025,6.5,settlement_deduction,high,2603.25874v1.pdf
SC-SYN-0156,Synthetic electricity-carbon scenario 0156 (Spain 2026),Spain,2026,0.0,hard_threshold,low,2603.25874v1.pdf
SC-SYN-0157,Synthetic electricity-carbon scenario 0157 (Italy 2027),Italy,2027,0.0,linear_ramp,medium,2603.25874v1.pdf
SC-SYN-0158,Synthetic electricity-carbon scenario 0158 (Poland 2028),Poland,2028,0.73,capacity_market_offset,high,2603.25874v1.pdf
SC-SYN-0159,Synthetic electricity-carbon scenario 0159 (EU 2029),EU,2029,11.03,green_certificate,low,2603.25874v1.pdf
SC-SYN-0160,Synthetic electricity-carbon scenario 0160 (Netherlands 2020),Netherlands,2020,1.51,settlement_deduction,medium,2603.25874v1.pdf
SC-SYN-0161,Synthetic electricity-carbon scenario 0161 (Belgium 2021),Belgium,2021,0.0,hard_threshold,high,2603.25874v1.pdf
SC-SYN-0162,Synthetic electricity-carbon scenario 0162 (Austria 2022),Austria,2022,0.0,linear_ramp,low,2603.25874v1.pdf
SC-SYN-0163,Synthetic electricity-carbon scenario 0163 (Germany 2023),Germany,2023,6.15,capacity_market_offset,medium,2603.25874v1.pdf
SC-SYN-0164,Synthetic electricity-carbon scenario 0164 (France 2024),France,2024,11.83,green_certificate,high,2603.25874v1.pdf
SC-SYN-0165,Synthetic electricity-carbon scenario 0165 (Spain 2025),Spain,2025,4.26,settlement_deduction,low,2603.25874v1.pdf
SC-SYN-0166,Synthetic electricity-carbon scenario 0166 (Italy 2026),Italy,2026,0.0,hard_threshold,medium,2603.25874v1.pdf
SC-SYN-0167,Synthetic electricity-carbon scenario 0167 (Poland 2027),Poland,2027,0.0,linear_ramp,high,2603.25874v1.pdf
SC-SYN-0168,Synthetic electricity-carbon scenario 0168 (EU 2028),EU,2028,0.9,capacity_market_offset,low,2603.25874v1.pdf
SC-SYN-0169,Synthetic electricity-carbon scenario 0169 (Netherlands 2029),Netherlands,2029,1.32,green_certificate,medium,2603.25874v1.pdf
SC-SYN-0170,Synthetic electricity-carbon scenario 0170 (Belgium 2020),Belgium,2020,1.85,settlement_deduction,high,2603.25874v1.pdf
SC-SYN-0171,Synthetic electricity-carbon scenario 0171 (Austria 2021),Austria,2021,0.0,hard_threshold,low,2603.25874v1.pdf
SC-SYN-0172,Synthetic electricity-carbon scenario 0172 (Germany 2022),Germany,2022,0.0,linear_ramp,medium,2603.25874v1.pdf
SC-SYN-0173,Synthetic electricity-carbon scenario 0173 (France 2023),France,2023,1.27,capacity_market_offset,high,2603.25874v1.pdf
SC-SYN-0174,Synthetic electricity-carbon scenario 0174 (Spain 2024),Spain,2024,5.96,green_certificate,low,2603.25874v1.pdf
SC-SYN-0175,Synthetic electricity-carbon scenario 0175 (Italy 2025),Italy,2025,3.65,settlement_deduction,medium,2603.25874v1.pdf
SC-SYN-0176,Synthetic electricity-carbon scenario 0176 (Poland 2026),Poland,2026,0.0,hard_threshold,high,2603.25874v1.pdf
SC-SYN-0177,Synthetic electricity-carbon scenario 0177 (EU 2027),EU,2027,0.0,linear_ramp,low,2603.25874v1.pdf
SC-SYN-0178,Synthetic electricity-carbon scenario 0178 (Netherlands 2028),Netherlands,2028,4.26,capacity_market_offset,medium,2603.25874v1.pdf
SC-SYN-0179,Synthetic electricity-carbon scenario 0179 (Belgium 2029),Belgium,2029,9.02,green_certificate,high,2603.25874v1.pdf
SC-SYN-0180,Synthetic electricity-carbon scenario 0180 (Austria 2020),Austria,2020,9.62,settlement_deduction,low,2603.25874v1.pdf
SC-SYN-0181,Synthetic electricity-carbon scenario 0181 (Germany 2021),Germany,2021,0.0,hard_threshold,medium,2603.25874v1.pdf
SC-SYN-0182,Synthetic electricity-carbon scenario 0182 (France 2022),France,2022,0.0,linear_ramp,high,2603.25874v1.pdf
SC-SYN-0183,Synthetic electricity-carbon scenario 0183 (Spain 2023),Spain,2023,11.74,capacity_market_offset,low,2603.25874v1.pdf
SC-SYN-0184,Synthetic electricity-carbon scenario 0184 (Italy 2024),Italy,2024,11.23,green_certificate,medium,2603.25874v1.pdf
SC-SYN-0185,Synthetic electricity-carbon scenario 0185 (Poland 2025),Poland,2025,8.32,settlement_deduction,high,2603.25874v1.pdf
SC-SYN-0186,Synthetic electricity-carbon scenario 0186 (EU 2026),EU,2026,0.0,hard_threshold,low,2603.25874v1.pdf
SC-SYN-0187,Synthetic electricity-carbon scenario 0187 (Netherlands 2027),Netherlands,2027,0.0,linear_ramp,medium,2603.25874v1.pdf
SC-SYN-0188,Synthetic electricity-carbon scenario 0188 (Belgium 2028),Belgium,2028,3.58,capacity_market_offset,high,2603.25874v1.pdf
SC-SYN-0189,Synthetic electricity-carbon scenario 0189 (Austria 2029),Austria,2029,9.42,green_certificate,low,2603.25874v1.pdf
SC-SYN-0190,Synthetic electricity-carbon scenario 0190 (Germany 2020),Germany,2020,5.94,settlement_deduction,medium,2603.25874v1.pdf
SC-SYN-0191,Synthetic electricity-carbon scenario 0191 (France 2021),France,2021,0.0,hard_threshold,high,2603.25874v1.pdf
SC-SYN-0192,Synthetic electricity-carbon scenario 0192 (Spain 2022),Spain,2022,0.0,linear_ramp,low,2603.25874v1.pdf
SC-SYN-0193,Synthetic electricity-carbon scenario 0193 (Italy 2023),Italy,2023,7.28,capacity_market_offset,medium,2603.25874v1.pdf
SC-SYN-0194,Synthetic electricity-carbon scenario 0194 (Poland 2024),Poland,2024,11.77,green_certificate,high,2603.25874v1.pdf
