"First Name","Last Name","Nickname","Record","Wins","Losses","Draws","Height","Weight","Reach","Stance","SLpM","Str. Acc","SApM","Str. Def","TD Avg","TD Acc","TD Def","Sub. Avg","URL"
"Chris","Amarante",NA,"2-0-0",2,0,0,NA,185,NA,NA,0,0,0,0,0,0,0,0,"http://fightmetric.com/fighter-details/ee0b69e307c857e5"
"Adlan","Amagov","Borz","13-2-1",13,2,1,74,170,76,"Orthodox",3.29,0.47,0.82,0.78,5.84,0.56,1,0,"http://fightmetric.com/fighter-details/1e327b281ef6a745"
"Andre","Amado","Dida","6-4-1",6,4,1,72,154,NA,"Orthodox",2.27,0.24,5.91,0.63,0,0,0.2,0,"http://fightmetric.com/fighter-details/20821819c401ced8"
"Sam","Alvey","Smile'N","30-8-0",30,8,0,74,185,75,"Southpaw",3.6,0.48,3.8,0.56,0,0,0.85,0.2,"http://fightmetric.com/fighter-details/d156513a19acf856"
"Warlley","Alves",NA,"11-2-0",11,2,0,71,170,72,"Orthodox",2.86,0.47,4.5,0.5,1.14,0.55,0.75,1.4,"http://fightmetric.com/fighter-details/d317a5e2b3f88c5f"
"Amilcar","Alves",NA,"11-4-0",11,4,0,72,170,NA,"Southpaw",0.5,0.46,2.02,0.3,0,0,0.53,0,"http://fightmetric.com/fighter-details/dc5a6b2fdb27e7dc"
"Anthony","Alves",NA,"1-3-0",1,3,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,"http://fightmetric.com/fighter-details/bd92cf5da5413d2a"
"Thiago","Alves","Pitbull","26-11-0",26,11,0,69,170,70,"Orthodox",3.49,0.41,3.08,0.64,0.73,0.64,0.63,0.4,"http://fightmetric.com/fighter-details/31ee470ef5dc8d7f"
"Eddie","Alvarez","The Underground King","28-5-0",28,5,0,69,155,69,"Orthodox",3.43,0.42,3.28,0.59,3.58,0.38,0.92,0.5,"http://fightmetric.com/fighter-details/33a331684283900f"
"Sean","Alvarez",NA,"4-3-0",4,3,0,72,235,NA,"Orthodox",0.89,0.37,3.25,0.47,0,0,0,0,"http://fightmetric.com/fighter-details/e741536153227386"
"Mike","Altman",NA,"1-4-0",1,4,0,70,185,NA,"Orthodox",1.56,0.2,2.08,0.75,0,0,0,0,"http://fightmetric.com/fighter-details/c11036da9162cb5f"
"Rico","Altamirano",NA,"3-2-0",3,2,0,70,170,NA,NA,0,0,0,0,0,0,0,0,"http://fightmetric.com/fighter-details/c61b49cec6abd6b9"
"Mauricio","Alonso",NA,"11-7-0",11,7,0,74,170,NA,NA,5.74,0.34,1.91,0.67,0,0,0,0,"http://fightmetric.com/fighter-details/c6bf75775b278ed8"
"Ericka","Almeida",NA,"7-2-0",7,2,0,66,115,68,NA,1.07,0.39,3.33,0.43,0.5,0.33,0.37,0,"http://fightmetric.com/fighter-details/67a992d4cff22466"
"Thomas","Almeida","Thominhas","22-1-0",22,1,0,67,135,70,"Southpaw",6.46,0.49,4.47,0.66,0,0,0.8,0,"http://fightmetric.com/fighter-details/2b074403b7c6cdb4"
"Magno","Almeida",NA,"9-3-0",9,3,0,72,155,NA,NA,1.67,0.36,2.6,0.41,0,0,0.4,5,"http://fightmetric.com/fighter-details/d615d6a10a4704cd"
"Ricardo","Almeida","Big Dog","13-5-0",13,5,0,72,170,74,"Orthodox",2.02,0.49,1.2,0.61,3.74,0.38,0.31,1.2,"http://fightmetric.com/fighter-details/91186547a7f3f758"
"Benny","Alloway","Blanco","13-6-0",13,6,0,71,170,75,"Orthodox",1.28,0.49,1.9,0.59,0.62,0.5,0.26,0,"http://fightmetric.com/fighter-details/c4fe2e9a06ea5bcb"
"Arnold","Allen","Almighty","12-1-0",12,1,0,68,145,70,"Southpaw",2.06,0.34,1.85,0.55,2.88,0.57,0.75,0.7,"http://fightmetric.com/fighter-details/040a74bb0a465c54"
"George","Allen",NA,"13-19-2",13,19,2,74,205,NA,"Open Stance",0.8,0.38,3.1,0.43,0,0,0.5,0,"http://fightmetric.com/fighter-details/1e13936d708bcff7"
"Sultan","Aliev",NA,"14-2-0",14,2,0,71,170,74,"Orthodox",1.3,0.57,2.03,0.58,1.69,0.66,1,0,"http://fightmetric.com/fighter-details/e70de1859b7ee78e"
"Royce","Alger",NA,"3-2-0",3,2,0,70,199,NA,"Orthodox",0,0,0,0,0,0,0,0,"http://fightmetric.com/fighter-details/669a3cb6e394f515"
"Levi","Alford",NA,"1-4-0",1,4,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,"http://fightmetric.com/fighter-details/41b34b7f11f6d085"
"Pablo","Alfonso","The Hurricane","6-5-0",6,5,0,68,145,NA,NA,0,0,0,0,0,0,0,0,"http://fightmetric.com/fighter-details/4b37a0bc2ab4cae1"
"Olaf","Alfonso",NA,"8-11-0",8,11,0,74,170,NA,"Orthodox",0.74,0.26,5.33,0.37,0,0,0.22,0.6,"http://fightmetric.com/fighter-details/b757c73f443d4fca"
"Marcio","Alexandre Junior","Lyoto","13-3-0",13,3,0,72,170,75,"Southpaw",1.66,0.44,2.97,0.41,0.37,0.2,0.72,0.4,"http://fightmetric.com/fighter-details/d53482bef23235ba"
"Kenneth","Alexander","The Machine","5-5-0",5,5,0,69,155,NA,"Orthodox",0.88,0.19,2.2,0.66,4.71,0.26,0,0,"http://fightmetric.com/fighter-details/8fd76e1b49c00ae2"
"Houston","Alexander","The Assassin","13-8-1",13,8,1,72,205,72,"Orthodox",3.06,0.54,3.2,0.52,1.19,0.57,0.33,0,"http://fightmetric.com/fighter-details/0541480fbf719d86"
"John","Alessio","The Natural","34-16-0",34,16,0,70,155,72,"Orthodox",1.87,0.35,2.46,0.57,1.78,0.36,0.72,1,"http://fightmetric.com/fighter-details/7a15f3694c5cbc02"
"Jim","Alers","The Beast","13-3-0",13,3,0,69,145,71,"Orthodox",2.9,0.4,4.38,0.56,2.26,0.41,0.8,0.3,"http://fightmetric.com/fighter-details/fe5a9547479396ab"
"JJ","Aldrich",NA,"4-2-0",4,2,0,65,115,67,"Southpaw",2.07,0.38,3.73,0.54,0,0,0.33,0,"http://fightmetric.com/fighter-details/6fd953151d981979"
"Jose","Aldo","Junior","26-2-0",26,2,0,67,145,70,"Orthodox",3.28,0.43,2.09,0.71,0.83,0.72,0.92,0.2,"http://fightmetric.com/fighter-details/d0f3959b4a9747e6"
"Irene","Aldana",NA,"7-3-0",7,3,0,69,135,68,"Orthodox",7.2,0.42,11.27,0.57,1,1,0,0,"http://fightmetric.com/fighter-details/578ef12674df1e6a"
"Gilbert","Aldana","El Peligro","6-2-0",6,2,0,73,250,NA,"Orthodox",2.91,0.54,6.26,0.26,2.57,0.4,0.33,0,"http://fightmetric.com/fighter-details/d26934530dc5b248"
"Alfonso","Alcarez",NA,"1-3-1",1,3,1,63,145,NA,NA,0,0,0,0,0,0,0,0,"http://fightmetric.com/fighter-details/1e38bba6738b7b10"
"Deiveson","Alcantara","Daico","11-0-0",11,0,0,NA,125,NA,NA,0,0,0,0,0,0,0,0,"http://fightmetric.com/fighter-details/aa72b0f831d0bfe5"
"Ildemar","Alcantara","Marajo","21-8-0",21,8,0,74,185,78,"Orthodox",1.93,0.38,2.63,0.5,2,0.68,0.81,0.9,"http://fightmetric.com/fighter-details/7c6e87729e824ef4"
"Iuri","Alcantara","Marajo","34-7-0",34,7,0,69,135,71,"Southpaw",2.65,0.46,2.54,0.48,1.46,0.68,0.57,0.8,"http://fightmetric.com/fighter-details/2f95a3c6d58b2aad"
"Juan","Alcain",NA,"1-2-0",1,2,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,"http://fightmetric.com/fighter-details/39f62b833e4cf126"
"Israel","Albuquerque",NA,"0-3-0",0,3,0,NA,185,NA,"Orthodox",0.32,0.13,3.34,0.25,0,0,0,0,"http://fightmetric.com/fighter-details/dd1b90eea08887f6"
"Alexandra","Albu","Stitch","6-0-0",6,0,0,62,115,62,"Orthodox",4.9,0.67,3.74,0.28,0,0,0.87,1.8,"http://fightmetric.com/fighter-details/e76d9f656ceb82ab"
"Wes","Albritton",NA,"0-1-0",0,1,0,70,188,NA,"Orthodox",0,0,0,0,0,0,0,0,"http://fightmetric.com/fighter-details/184b955181bdef52"
"John","Albert","Prince","7-5-0",7,5,0,68,135,68,NA,3.05,0.49,2.82,0.35,0,0,0.5,6.1,"http://fightmetric.com/fighter-details/7bd94b60d7521e4a"
"Brett","Albee",NA,"3-1-0",3,1,0,NA,225,NA,NA,0,0,0,0,0,0,0,0,"http://fightmetric.com/fighter-details/9b28292abe3166d5"
"Javi","Alanis",NA,"0-3-0",0,3,0,66,135,NA,NA,0,0,0,0,0,0,0,0,"http://fightmetric.com/fighter-details/2144954270be834d"
"Mostapha","Al-Turk",NA,"6-6-0",6,6,0,74,245,77,"Orthodox",1.36,0.19,3.61,0.53,0,0,0,0,"http://fightmetric.com/fighter-details/1cf1310684a841f5"
"Razak","Al-Hassan",NA,"11-5-0",11,5,0,74,205,NA,"Orthodox",3.27,0.39,3.14,0.6,0.65,0.14,0.57,0,"http://fightmetric.com/fighter-details/38b50fd1e1b5b656"
"Yoshihiro","Akiyama",NA,"14-6-0",14,6,0,70,170,73,"Orthodox",3.1,0.41,3.62,0.57,2.29,0.67,0.92,1,"http://fightmetric.com/fighter-details/b0550072e5f0afa7"
"Omari","Akhmedov","Wolverine","16-4-0",16,4,0,72,170,73,"Orthodox",2.82,0.34,2.6,0.57,2.85,0.5,0.5,0.4,"http://fightmetric.com/fighter-details/16690d100f995f8f"
"Hitomi","Akano","Girlfight Monster","18-8-0",18,8,0,64,135,NA,"Southpaw",0.59,0.45,2.58,0.55,0,0,0.08,0.5,"http://fightmetric.com/fighter-details/2eada40ac8801559"
"Mike","Aina","Iron","12-6-1",12,6,1,69,155,NA,"Orthodox",2.87,0.33,6.33,0.59,0,0,0.71,0,"http://fightmetric.com/fighter-details/9e3dbb9c68ed5d1a"
"Jessica","Aguilar","Jag","19-5-0",19,5,0,63,115,63,"Orthodox",4.67,0.37,7.4,0.55,0,0,0,0,"http://fightmetric.com/fighter-details/8f382b3baa954d2a"
"Edwin","Aguilar","Tigre","22-16-0",22,16,0,70,185,NA,NA,0,0,0,0,0,0,0,0,"http://fightmetric.com/fighter-details/6cadc0a0ba7dc015"
"Marcelo","Aguiar",NA,"2-3-1",2,3,1,70,170,NA,"Orthodox",0,0,0,0,0,0,0,0,"http://fightmetric.com/fighter-details/44aa652b181bcf68"
"Nick","Agallar",NA,"24-6-0",24,6,0,68,155,NA,"Orthodox",0.69,0.11,4.56,0.42,0,0,0,0,"http://fightmetric.com/fighter-details/ebc5af72ad5a28cb"
"Sam","Adkins","The Experience","7-20-2",7,20,2,75,225,NA,"Orthodox",0,0,0,0,0,0,0,0,"http://fightmetric.com/fighter-details/0e9869d712e81f8f"
"Scott","Adams",NA,"8-1-0",8,1,0,72,225,NA,"Southpaw",0,0,0,0,0,0,0,0,"http://fightmetric.com/fighter-details/2620f3eb21c79614"
"Daniel","Acacio",NA,"26-12-0",26,12,0,68,180,NA,"Orthodox",3.52,0.36,2.85,0.62,0.33,0.2,0.81,0,"http://fightmetric.com/fighter-details/1c5879330d42255f"
"Ricardo","Abreu","Demente","5-3-0",5,3,0,71,185,73,"Orthodox",3.79,0.31,3.98,0.68,2.13,0.42,1,0.7,"http://fightmetric.com/fighter-details/aa6e591c2a2cdecd"
"Papy","Abedi","Makambo","9-3-0",9,3,0,71,185,74,"Southpaw",2.8,0.55,3.15,0.48,3.47,0.57,0.5,1.3,"http://fightmetric.com/fighter-details/c9f6385af6df66d7"
"Hiroyuki","Abe","Abe Ani","8-14-3",8,14,3,66,145,NA,"Orthodox",1.71,0.36,3.11,0.63,0,0,0.33,0,"http://fightmetric.com/fighter-details/c0ed7b208197e8de"
"Shamil","Abdurakhimov","Abrek","16-4-0",16,4,0,75,235,76,"Orthodox",2.48,0.45,2.5,0.58,1.4,0.22,0.77,0.3,"http://fightmetric.com/fighter-details/2f5cbecbbe18bac4"
"David","Abbott","Tank","10-14-0",10,14,0,72,265,NA,"Switch",1.35,0.3,3.55,0.38,1.07,0.33,0.66,0,"http://fightmetric.com/fighter-details/b361180739bed4b0"
"Danny","Abbadi","The Assassin","4-6-0",4,6,0,71,155,NA,"Orthodox",3.29,0.38,4.41,0.57,0,0,0.77,0,"http://fightmetric.com/fighter-details/15df64c02b6b0fde"
"Tom","Aaron",NA,"5-3-0",5,3,0,NA,155,NA,NA,0,0,0,0,0,0,0,0,"http://fightmetric.com/fighter-details/93fe7332d16c6ad9"
"Michael","Byrnes",NA,"5-2-0",5,2,0,71,155,NA,NA,0,0,0,0,0,0,0,0,"http://fightmetric.com/fighter-details/87f0b37f153cf497"
"Steve","Byrnes","The Sergeant","6-1-0",6,1,0,72,170,NA,"Orthodox",1.2,0.51,2.67,0.27,3,0.6,0,4,"http://fightmetric.com/fighter-details/43612456979e5d5e"
"Raphael","Butler","The Silencer","9-2-1",9,2,1,75,261,NA,NA,4.69,0.45,0.94,0.91,0,0,1,14.1,"http://fightmetric.com/fighter-details/f941505e35fb1eae"
"Ian","Butler",NA,"1-2-0",1,2,0,68,155,NA,NA,2.09,0.14,6.69,0.36,0,0,0.5,0,"http://fightmetric.com/fighter-details/6b8fd98eb52363d1"
"Goldman","Butler",NA,"1-4-0",1,4,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,"http://fightmetric.com/fighter-details/e2d5072048b825b1"
"Todd","Butler",NA,"1-4-0",1,4,0,73,200,NA,"Southpaw",0,0,0,0,0,0,0,0,"http://fightmetric.com/fighter-details/3fed746acfd026dd"
"Jason","Butcher",NA,"8-2-0",8,2,0,75,185,NA,NA,1.82,0.4,2.73,0.25,13.64,0.5,0,0,"http://fightmetric.com/fighter-details/30e39145fec48d25"
"Eduardo","Bustillos",NA,"4-2-0",4,2,0,68,135,NA,NA,2.61,0.59,6.22,0.35,0,0,1,0,"http://fightmetric.com/fighter-details/f273f1b8df04c8a1"
"Nick","Bustamante",NA,"3-0-0",3,0,0,69,170,NA,NA,0,0,0,0,0,0,0,0,"http://fightmetric.com/fighter-details/51b1ca2a4b064101"
"Murilo","Bustamante",NA,"14-8-1",14,8,1,74,183,NA,"Orthodox",1.33,0.32,1.9,0.6,2.46,0.33,0.54,1.2,"http://fightmetric.com/fighter-details/85d905f7c4f5a1af"
"Bubba","Bush","The Fightin' Texas Aggie","8-3-0",8,3,0,72,185,73,"Orthodox",0.63,0.55,7.01,0.25,2.82,0.5,0.6,0,"http://fightmetric.com/fighter-details/132505067f08c54d"
"George","Bush",NA,"5-2-0",5,2,0,73,205,NA,NA,6.35,0.64,2.31,0.55,17.31,0.66,0,0,"http://fightmetric.com/fighter-details/f0c779dc2ca3816c"
"Martin","Buschkamp","Barracuda","9-0-0",9,0,0,69,145,70,"Orthodox",0,0,0,0,0,0,0,0,"http://fightmetric.com/fighter-details/8fc30d8cebb17116"
"Nah-Shon","Burrell","The Rock n Rolla","9-3-0",9,3,0,71,170,73,"Orthodox",4.83,0.47,3.45,0.56,0,0,0.52,0.3,"http://fightmetric.com/fighter-details/2c64c035485906aa"
"Derrick","Burnsed",NA,"8-2-0",8,2,0,NA,155,NA,NA,0,0,0,0,0,0,0,0,"http://fightmetric.com/fighter-details/2213330f082f82d5"
"Josh","Burns","The Hammer","0-1-0",0,1,0,73,244,NA,NA,2.4,0.48,5.73,0.32,0,0,1,0,"http://fightmetric.com/fighter-details/1e092415a7eeaf65"
"Gilbert","Burns","Durinho","11-2-0",11,2,0,70,155,71,"Orthodox",2.24,0.36,3.4,0.56,1.95,0.3,0.36,1.1,"http://fightmetric.com/fighter-details/23024fdfc966410a"
"Kevin","Burns","The Fire","9-5-0",9,5,0,70,170,74,"Orthodox",2.74,0.38,4.3,0.52,0.28,0.5,0.47,0.8,"http://fightmetric.com/fighter-details/a6d8bfe9e0c8153b"
"Mikey","Burnett","The Eastside Assassin","5-2-0",5,2,0,66,170,NA,"Orthodox",0,0,0,0,0,0,0,0,"http://fightmetric.com/fighter-details/4c805f5f58a75df0"
"Joshua","Burkman","The People's Warrior","29-15-0",29,15,0,70,155,72,"Orthodox",2.69,0.43,3.1,0.51,2.6,0.37,0.72,0.3,"http://fightmetric.com/fighter-details/6da99156486ed6c2"
"Shane","Burgos","Hurricane","8-0-0",8,0,0,71,145,75,"Orthodox",4.87,0.38,3.73,0.72,1,1,0.91,0,"http://fightmetric.com/fighter-details/98d961097baaf308"
